DNI,Nombre,Apellido,edad,gender,Perdida de conciencia,Respirar,Movilidad,Dolor
255123926,Reagan,Rowlands,97,M,True,True,False,False
970560976,Ansley,Bohman,99,F,True,True,False,False
825092107,Tuesday,Ditzel,102,F,True,False,False,False
599625556,Gillie,Worton,110,F,True,True,False,True
211061356,Rusty,Zucker,39,M,True,True,False,False
752208776,Malvina,Frostdick,78,F,True,True,True,False
404267167,Leigh,Casterou,34,M,True,False,False,True
392018341,Zacherie,Smart,93,M,True,True,False,False
589382456,Emmerich,Beazleigh,76,M,False,True,True,False
837245034,Papagena,Scragg,14,F,True,True,True,True
718022937,Bealle,Houseago,88,M,True,True,True,False
409735311,Erl,Muldrew,53,M,True,True,False,True
696834313,Errol,Asbrey,11,M,True,True,True,True
418720479,Fabian,Bedinn,25,M,True,True,False,False
409270976,Jewell,Estabrook,109,F,True,True,False,False
538759722,Bryant,Stigers,71,M,True,True,True,True
699695894,Emmalee,Sabathier,21,F,True,False,True,True
746687389,Cesare,Phizacklea,26,M,True,True,True,False
131263589,Terencio,De Antoni,71,M,True,False,True,False
699990720,Margit,Vinson,50,F,True,True,False,True
176071496,Flin,Soal,23,M,True,True,True,True
015622637,Parke,Francesco,14,M,False,True,True,True
889992221,Lennard,Tansey,91,M,True,True,False,True
228342873,Morten,Topliss,33,M,True,True,True,False
330622759,Cleo,Frammingham,98,F,True,True,False,False
569397431,Lynett,Mayhead,2,F,True,True,True,False
729101150,Demetris,Segar,72,M,True,True,False,True
115965754,Early,Drewson,45,M,True,False,True,True
881230332,Margareta,Dargie,20,F,True,True,True,True
997772127,Clarissa,Rumgay,86,F,True,True,False,True
053495603,Grayce,Eck,73,F,True,False,True,False
450132803,Eda,Condict,106,F,True,False,True,True
269505399,Fidel,Phoenix,88,M,True,True,True,False
742121978,Kassia,Faccini,20,F,True,True,False,True
609692496,Sylvia,Pflieger,19,F,True,True,True,False
741860677,Trudi,Youde,69,F,True,True,False,False
586648508,Isaiah,Scapelhorn,33,M,True,True,False,True
086751418,Alva,Meneghi,70,M,True,True,True,True
946379908,Nelson,Avraam,101,M,True,False,True,True
863036020,Gustave,Barles,13,M,True,True,True,False
709721991,Aurel,Erie,16,F,False,True,False,False
331745277,Dom,Artinstall,77,M,True,True,True,False
339841388,Hugibert,Boater,109,M,True,True,True,True
680142406,Parrnell,Luppitt,75,M,True,True,False,True
066299398,Emili,Izkovitch,29,F,True,True,True,False
071922354,Rea,Heinert,24,F,True,True,False,True
718906110,Xenia,Elstow,0,F,True,True,True,True
970265796,Claudina,Gentner,108,F,True,False,False,True
433682807,George,Scase,109,F,True,False,True,True
727688835,Karon,Gooding,18,F,False,False,True,True
291502951,Dimitry,Alty,67,M,False,True,False,False
998730070,Costanza,McKendo,76,F,True,True,False,True
324019379,Lizbeth,Pandey,55,F,True,False,True,False
763546428,Winfred,Hanner,8,M,True,True,False,False
507448856,Mia,Rabl,36,F,True,True,True,True
647425749,Daloris,Wedgbrow,2,F,True,True,True,False
640109519,Merrielle,Syddall,70,F,True,True,False,False
251840836,Maddi,Melpuss,34,F,True,True,False,True
717962275,Eugenia,Reina,38,F,True,True,False,True
239919191,Murdoch,Poad,85,M,False,True,False,False
382825794,Sonny,Etches,77,F,False,True,False,True
986917711,Fleming,Comizzoli,62,M,True,True,True,False
109474807,Eileen,Guwer,84,F,True,True,False,True
468087363,Keven,Capp,50,M,False,True,False,False
458588068,Marrissa,Spikins,47,F,True,True,True,True
630195742,Chicky,Urion,103,M,True,True,False,True
070961857,Enoch,Veschi,29,M,True,True,False,True
868579350,Tobe,Kiernan,89,F,True,True,False,True
750902818,Marmaduke,Harradine,79,M,False,False,False,False
317985713,Halsy,Casajuana,91,M,True,True,True,True
691788433,Bethany,McGillecole,106,F,False,True,True,False
352542134,Oran,Dearle-Palser,61,M,True,True,True,False
888072766,Tris,Skim,7,M,False,False,False,False
779760110,Giraldo,Deer,53,M,True,False,False,False
076866114,Juana,Maunder,19,F,True,True,False,False
825953160,Jodee,Philler,56,F,True,True,False,False
156800225,Brant,Durtnall,79,M,True,False,True,False
653127275,Gwenni,Gipson,51,F,True,True,True,True
174027776,Helen,Logsdale,32,F,True,True,True,True
480496394,Valentijn,Laherty,6,M,True,True,True,False
570278276,Alleyn,Rohlf,84,M,True,True,False,True
211784308,Sharron,Arntzen,1,F,True,True,True,True
042006103,Jorie,Bottlestone,81,F,True,True,True,False
742292147,Gabbi,Ealden,41,F,True,True,False,True
952515217,Gerome,Fadian,23,M,True,True,True,True
973344458,Cliff,Creech,21,M,True,True,True,False
790545975,Rahel,Rutter,103,F,True,True,True,False
120620667,Chickie,Lant,35,M,True,True,False,False
022607554,Starr,Fierro,3,F,False,False,True,False
002561576,Jaime,Burnell,5,M,False,True,True,True
953991842,Benedict,Sweeten,60,M,True,True,True,True
843391372,Ashlie,Mozzetti,35,F,True,True,False,True
728016601,Lillis,Branchet,82,F,True,True,True,True
885178809,Gard,Takis,101,M,True,True,True,True
865165742,Derek,Kinforth,81,M,True,True,False,True
305110998,Alain,Knight,37,M,True,True,True,False
824865072,Reeba,Chiverstone,22,F,True,True,False,False
996286640,Noak,Coules,39,M,False,True,True,True
758646818,Sapphira,Tenaunt,96,F,True,True,True,False
142026821,Pinchas,Zeplin,75,M,True,True,True,False
272558334,Ailina,Dalziel,38,F,True,True,True,True
503659369,Christabella,McGarvey,56,F,True,True,False,False
661280442,Rosalinde,O'Mohun,3,F,False,True,True,True
688573376,Morrie,Feander,15,M,False,True,False,False
165185086,Davida,Whitewood,103,F,True,True,False,False
100826504,Gloriana,Cobbing,33,F,True,True,True,False
416534281,Ravi,Spellissy,1,M,True,True,True,True
956726345,Linet,Meadus,24,F,True,True,True,True
546462516,Valentijn,Shipway,44,M,True,True,True,True
377119608,Aloysius,Sawers,39,M,True,True,True,True
426242951,Sibelle,Tatam,87,F,True,True,False,False
156509155,Trish,Elstob,57,F,True,True,False,False
682597665,Quillan,Wildman,24,M,True,False,True,True
294220102,Webster,Rowlinson,77,M,True,False,False,True
986522696,Averil,Stiggers,84,M,True,True,True,False
351628686,Thain,Priestman,82,M,True,True,False,True
633197825,Aldric,Dytham,26,M,True,True,True,False
138065033,Cece,Simkovitz,102,M,True,True,True,True
801679461,Alexandro,Parrin,54,M,True,False,True,False
922074777,Gregg,Renals,52,M,True,True,False,True
412974098,Ofella,Darwin,7,F,True,True,True,False
559308772,Loren,Antrack,62,M,True,False,False,True
924160632,Hi,Langtry,44,M,False,True,False,False
361511591,Berky,Monson,105,M,False,True,True,True
596889464,Kittie,Meconi,67,F,False,True,False,False
482795766,Raul,Do Rosario,69,M,True,True,False,False
848607621,Ware,Skentelbury,63,M,True,True,True,False
486316733,Tamar,Godbold,36,F,True,True,True,True
174042151,Giraud,Beran,96,M,True,True,True,False
095825671,Allianora,Bergeau,75,F,True,False,True,True
574997346,Willard,Newbury,91,M,False,False,False,True
689500431,Nollie,Haith,69,F,False,True,True,False
904465681,Lilian,Kinnett,37,F,True,True,True,True
561106121,Paula,Hairesnape,52,F,True,True,True,False
875510643,Eduino,Slowgrove,0,M,False,True,True,False
049597374,Ashil,Wahner,1,F,True,True,False,False
048600337,Neall,Edington,51,M,True,True,False,False
368042321,Giffie,Dallin,26,M,True,True,False,True
798919684,Kippie,Hinz,0,F,False,True,True,False
952056615,Candice,Varfalameev,46,F,True,True,True,True
954437304,Wallie,Lowder,13,M,False,True,True,True
078875064,Rockey,Firminger,107,M,True,False,True,False
550902832,Nolly,Furmagier,88,M,True,True,True,False
498244401,Flor,Mallett,29,F,True,False,True,True
070414930,Dewitt,Robet,19,M,True,True,True,False
587018063,Cati,Treagus,18,F,True,True,True,True
730619671,Abba,Dahlback,17,M,True,True,False,True
307511523,Indira,Rontree,23,F,True,True,False,False
486312510,Shirlene,Stening,22,F,True,True,True,False
968121837,Mara,Ferraraccio,72,F,True,True,True,False
933517937,Ogden,Munden,4,M,True,False,False,True
654045551,Woodie,Wharton,20,M,True,False,True,False
892226389,Lucas,Lippatt,12,M,True,True,False,True
329596362,Doloritas,Hugonneau,86,F,True,True,True,True
715846816,Mirella,Eallis,42,F,True,True,False,False
958694132,Fidole,Maciunas,49,M,False,True,False,False
789619066,Catharina,McGlaud,54,F,True,True,False,False
411933482,Emma,Eykel,74,F,True,True,False,True
348536535,Cullie,Crinkley,34,M,True,False,False,False
176427421,Jean,Nattriss,71,M,True,False,True,True
611411985,Halley,Jimmison,66,F,False,True,False,True
026375111,Berthe,Manchett,33,F,True,True,True,True
243078705,Juliette,Payton,40,F,True,True,False,False
668201929,Donaugh,Northley,79,M,True,True,True,True
564913561,Basile,Greene,106,M,True,True,False,False
497885315,Gail,Dudny,84,M,True,False,True,False
678294982,Julee,MacGraith,63,F,True,True,False,False
998868448,Cybill,Mulroy,28,F,True,False,False,True
046713814,Heida,Oliff,86,F,False,True,True,False
085524146,Alley,Jee,43,M,True,True,True,True
815441377,Malia,Staresmeare,96,F,True,True,True,True
497672823,Cobb,Daice,77,M,True,True,False,False
058558435,Ernaline,Schaben,80,F,True,True,False,False
302382124,Aksel,Whebell,27,M,True,True,False,False
407180760,Waiter,Swaton,76,M,True,True,False,True
074520734,Colene,Borrill,82,F,True,True,False,False
860599154,Dermot,Giorgetti,45,M,False,True,False,False
760957378,Marlin,Van Arsdall,76,M,True,True,False,True
141555152,Gaston,Polley,68,M,True,False,False,False
310809261,Michaela,Geindre,16,F,True,True,False,False
520038996,Amandy,Leates,48,F,True,True,True,True
161633268,Leupold,Gimblett,61,M,True,True,True,False
757020667,Ira,Duigan,102,F,True,True,False,False
408676098,Reinaldos,Morales,18,M,True,True,False,True
455964411,Friederike,Munroe,12,F,False,True,True,False
917143241,Lonny,Capes,44,M,False,True,False,False
730751803,Matthaeus,Hadlee,70,M,False,True,True,True
583147687,Putnam,Klausewitz,103,M,True,True,True,False
045683496,Arch,Kubacek,23,M,True,True,True,True
279619170,Wat,Osmond,94,M,True,True,True,False
690351173,Niko,Harker,84,M,True,True,True,False
250156147,Ibbie,Reany,80,F,True,False,False,True
955380195,Mikel,Edler,54,M,True,False,True,True
634162546,Donal,Sange,29,M,False,True,True,False
628785943,Aubrette,McCrohon,8,F,True,False,True,True
817270721,Nicki,Panner,59,F,True,True,True,False
532196405,Robina,Capp,62,F,True,True,False,False
761455381,Alvira,Jocelyn,7,F,True,True,True,False
859709664,Minerva,Freda,80,F,True,True,True,True
050943442,Efren,Studeart,2,M,False,True,False,True
703862447,Remington,Rugg,110,M,False,True,True,True
147468056,Lara,Flewin,48,F,True,True,False,False
512924557,Em,Flecknell,84,M,True,True,False,True
765593259,Norrie,Spittall,20,M,False,True,False,True
132904247,Anne-corinne,Whale,65,F,True,True,False,True
738445702,Taber,Nunnerley,24,M,True,True,True,True
996045790,Nev,Broady,84,M,True,True,True,False
680490040,Zane,Bramwell,18,M,True,True,True,True
431304473,Meggie,Shephard,107,F,False,True,False,False
953397492,Kristo,Tewelson,76,M,True,False,False,True
854518562,Sorcha,Featherby,96,F,True,True,False,False
964370234,Kristofer,Peters,75,M,True,True,True,False
936747517,Dud,Cotherill,68,M,True,True,True,False
772448749,Augy,Jobbings,74,M,True,True,True,True
952493662,Katti,Leftridge,8,F,True,True,False,False
776452376,Hyacintha,Balch,28,F,True,True,False,False
863746467,Lisle,Pott,72,M,True,True,False,False
468944141,Edie,Paternoster,22,F,False,True,True,False
496297482,Beau,Brogiotti,29,M,True,True,True,True
819271936,Galvin,Kares,12,M,False,True,False,True
711729291,Hertha,Tuckie,2,F,True,True,True,True
477243367,Kippar,Esposito,32,M,True,True,True,True
810523774,Wilma,Insull,60,F,True,True,True,False
167894887,Hill,Askem,45,M,True,True,True,True
444727158,Mackenzie,Boater,97,M,True,True,False,True
713655416,Portie,Quirke,35,M,True,False,True,False
105602816,Temple,Adshed,42,M,True,True,True,False
304708550,Ashli,Geale,96,F,True,True,True,True
633550036,Cati,Gores,90,F,True,True,False,True
981915002,Klement,Shillitoe,78,M,True,True,True,True
012852397,Emmalynne,Kneath,86,F,True,True,True,False
592137477,Hillyer,Gorey,93,M,True,False,False,True
420423545,Gibby,McNern,71,M,True,True,True,False
141938386,Sibella,Demann,85,F,True,True,True,True
945989601,Mellisent,Beine,55,F,True,True,True,False
371096034,Barbe,Frowen,18,F,True,True,False,False
441684981,Galvin,Mishaw,108,M,True,True,False,False
449221210,Terrijo,Yglesia,82,F,True,True,False,True
036541095,Hamlin,Staines,60,M,True,True,False,False
546316654,Cord,Englishby,42,M,True,True,False,False
558803731,Hamish,Bayles,80,M,True,True,True,True
668473121,Moira,Hannaby,59,F,True,True,False,True
707062668,Sandro,Nolli,68,M,True,True,False,True
363075606,Myriam,Glusby,9,F,True,True,False,False
589407388,Daria,Isakowicz,8,F,True,True,True,True
361488546,Olivero,Baglow,105,M,True,True,True,True
904520702,Fayth,Van den Velde,83,F,False,True,True,True
517385389,Rhys,Sollner,13,M,False,True,True,False
256314548,Den,Gogie,93,M,True,True,True,True
106736247,Nan,Simonassi,107,F,True,True,False,True
700543370,Feliks,Bannister,87,M,True,False,True,False
213018567,Melisenda,Hubach,61,F,False,True,True,False
933094031,Aylmar,Burger,0,M,True,True,True,True
353510579,Danya,Ogborn,8,F,True,False,True,False
974862567,Munroe,Cavee,50,M,True,True,False,True
195216040,Flossy,Leaver,86,F,True,True,True,True
453005573,Dew,Boatright,18,M,True,True,True,False
781227347,Tiebout,Cino,100,M,True,True,True,True
796408946,Roldan,Keenor,91,M,True,True,True,False
898734984,Lew,Brasted,34,M,True,True,True,False
847376019,Cully,Jesteco,30,M,True,True,False,False
973892046,Mel,Veljes,107,F,False,True,True,False
115117860,Lorelle,Drysdell,37,F,True,True,True,True
329387158,Alison,Danis,62,F,True,True,True,False
266112190,Zorah,Chifney,25,F,True,True,False,True
329445207,Vladamir,Underhill,31,M,True,True,False,False
699665551,Umeko,Danilyak,105,F,True,True,False,False
535266372,Eddie,Glenister,62,F,True,True,True,True
906139486,Sharl,Ferenczy,3,F,True,True,True,False
513121723,Lib,Joynt,110,F,True,True,True,False
229394930,Meredith,Bennett,82,M,False,True,True,True
169524117,Carter,Klezmski,82,M,True,True,True,True
673499330,Alexander,Tweddell,45,M,True,True,True,False
682336708,Findlay,Eddisford,40,M,False,True,True,True
316686544,Bartram,Holtham,65,M,True,True,True,False
617322844,Stillman,Harwell,56,M,True,True,False,True
044638683,Alphonse,Beart,17,M,True,False,True,True
058720315,Amata,Billiard,58,F,True,False,False,True
026030343,Edna,Laird,33,F,True,False,False,True
873022471,Donnie,Thornborrow,19,M,True,True,False,False
936570894,Bartram,Albarez,99,M,True,True,True,True
788731953,Krisha,Kolin,23,M,True,True,False,False
219731003,Larry,Gingell,104,M,True,True,True,True
726171308,Aleen,Faunch,58,F,True,False,False,False
959746823,Armin,Bowton,25,M,True,True,True,True
335018704,Lind,Shemming,26,F,False,True,True,True
874822619,Saunders,Langhor,41,M,True,True,False,False
488742269,Sunshine,Loker,97,F,True,True,True,True
024600812,Shannah,Tschursch,25,F,True,True,False,True
693193313,Romy,Causon,25,F,True,True,True,False
628786943,Grethel,Beswetherick,71,F,True,True,True,True
179020307,Mervin,Sivyer,11,M,True,True,True,True
419068290,Alec,Lavigne,26,M,True,True,True,True
884584163,Laurens,Dumbrall,30,M,True,True,False,False
767206788,Nickola,Blowick,16,M,True,True,True,False
652229141,Quincey,Checcuzzi,43,M,True,True,False,False
928950142,Adan,Ferronel,55,M,True,True,True,False
620806689,Marlyn,Luchetti,18,F,True,True,False,True
393247161,Arlyn,Hasslocher,6,F,True,True,False,False
243499172,Myrah,Astill,10,F,True,True,True,False
904443607,Walther,Souttar,24,M,False,True,False,True
229871695,Mariquilla,Wix,5,F,True,True,True,False
149837718,Serena,Jorez,49,F,True,True,True,True
203355893,Rasia,Milson,22,F,True,True,False,False
724551191,Rhianna,Rentelll,54,F,True,True,False,False
192229201,Georges,Loiterton,64,M,True,True,True,False
955043230,Sybil,Harower,59,F,True,True,True,True
673915849,Had,Conneau,57,M,True,True,False,True
603749943,Bekki,Eacle,74,F,True,True,True,False
693349637,Rich,Chastel,47,M,False,True,True,True
917977658,Murial,Blacklidge,81,F,True,True,True,True
762145012,Mandi,Exton,58,F,True,True,False,True
519589116,Amberly,Brilleman,90,F,True,True,True,True
777293229,Brucie,Mangeot,35,M,True,True,False,False
904697003,Tonie,Jaggard,104,F,True,True,True,False
908298630,Elsi,Bram,31,F,False,True,True,False
160526753,Elvira,McMorran,33,F,False,False,False,False
999997174,Killian,Kittless,80,M,True,False,False,False
312589428,Albina,Bulstrode,48,F,True,True,False,True
597275619,Malva,Ivers,42,F,True,True,True,True
782795333,Kennedy,Sproule,91,M,True,True,True,True
796894156,Parnell,Metzig,74,M,True,True,False,True
961441471,Yettie,Southard,35,F,True,True,False,True
569338663,Culley,Chittim,86,M,False,True,True,True
737358996,Jean,Mildner,28,F,True,False,False,False
134353258,Odetta,Friel,92,F,False,True,True,True
703401580,Johny,Gerard,71,M,False,True,False,True
182391747,Adria,Strowger,5,F,False,False,False,True
684047240,Kettie,Berthelet,87,F,True,False,False,True
641052750,Keslie,McGaughie,21,F,True,True,False,True
323086600,Michaela,Schneidau,76,F,True,True,False,False
434964042,Tobin,Korfmann,57,M,True,True,True,True
446986809,Lawton,Mell,74,M,True,True,False,False
283706567,Fredek,Dunlea,92,M,True,True,False,False
750636697,Bailie,Billie,94,M,True,True,True,False
763062363,Bibi,Grimmett,107,F,True,True,False,True
209847501,Moselle,Brandle,102,F,True,True,False,True
031029509,Rubie,Badham,2,F,True,True,False,False
685497885,Morgen,Dunthorn,28,F,False,True,True,True
439907539,Scottie,De Biaggi,110,M,True,True,False,False
707077016,Ruprecht,Zincke,63,M,False,True,False,True
073726073,Reggie,Poschel,110,M,True,True,False,True
692328439,Juieta,Duckit,83,F,True,False,True,False
129743177,Lindy,Sholem,28,M,False,True,False,False
987645564,Neil,Throughton,80,M,True,True,True,True
907054419,Federico,Apple,52,M,True,True,False,True
517672915,Say,De Ruggero,99,M,True,True,False,False
023691307,Yvette,Vedyaev,60,F,True,True,False,True
269292077,Rochette,McHale,81,F,False,True,True,False
502085384,Cole,Klimshuk,45,M,True,True,False,False
069599190,Khalil,Vaz,28,M,True,False,True,True
481430555,Dulsea,Mowson,105,F,True,False,True,True
564179434,Emelia,Grabham,95,F,False,True,False,False
044598083,Ebba,Sheircliffe,55,F,True,True,False,False
798596610,Kerrill,Fearnyhough,71,F,True,True,True,False
985234956,Elfrida,Barbe,100,F,False,True,False,False
089438832,Maximilian,Ledur,42,M,False,True,False,True
911614236,Riordan,Cockerham,58,M,True,True,True,True
839875544,Louisette,Gyorffy,13,F,True,False,False,False
068915742,Matt,Baumber,54,M,True,True,True,False
813533596,Lita,Bariball,41,F,True,True,False,False
673326855,Ruby,Boliver,48,F,True,True,False,False
231920813,Cristian,Stimpson,31,M,False,False,True,True
729572848,Kippy,Rylands,20,F,False,True,True,False
872166098,Ariel,Tixall,106,F,True,True,False,True
709549735,Corabella,Hedworth,69,F,True,True,False,True
617122635,Tallia,Woolens,71,F,True,True,True,False
579925127,Ferd,Pittendreigh,60,M,False,False,True,True
087182986,Tristam,Chasmer,29,M,True,True,False,True
088059185,Levon,Dargan,63,M,True,True,False,True
378369177,Baryram,Althrope,99,M,True,True,False,False
213430092,Thibaut,Victor,42,M,True,True,False,False
449301515,Vidovic,McTavy,107,M,True,False,True,False
027017821,Kirbee,Emptage,51,F,True,True,True,True
430456018,Link,Vice,101,M,False,True,True,False
098040975,Catlee,Stait,27,F,True,True,False,True
363867339,Marjory,Sloegrave,4,F,True,True,True,True
431812669,Eliot,Bakhrushkin,70,M,False,False,True,False
311258926,Sharl,Dodle,11,F,True,True,False,True
734736923,Georgette,Page,97,F,True,True,False,False
139692368,Hagan,O'Moylane,97,M,False,True,False,True
227627596,Rafi,Aldred,16,M,True,True,True,True
103140946,Jenica,June,83,F,True,True,True,False
433794417,Jacquette,Dupoy,70,F,True,True,True,True
585547154,Yule,Petworth,60,M,True,True,True,True
256027245,Emylee,Congrave,106,F,True,True,True,False
104829587,Leontyne,Bines,101,F,True,True,False,True
867033612,Georas,Maha,20,M,True,True,True,True
749484626,Ewart,Node,109,M,True,True,False,False
628372907,Colleen,Pury,53,F,True,False,True,True
614364515,Eolande,Ayer,77,F,True,True,True,False
528997164,Malchy,Cufflin,42,M,True,False,True,False
775015333,Jock,Harber,110,M,False,True,False,True
631061564,Tony,Durak,66,F,True,True,False,False
795527363,Padgett,Heibel,18,M,True,True,True,True
053843168,Maurizio,Gibbett,50,M,False,True,False,True
512938503,Harv,Sturridge,46,M,True,True,True,False
261082873,Eugen,Dettmar,89,M,True,False,False,False
733145020,Krista,Lasselle,12,F,True,True,True,True
364852653,Boote,Eixenberger,40,M,True,True,True,True
269887121,Hersch,Tsar,89,M,True,True,True,False
960046252,Zane,Stallwood,103,M,True,True,False,True
464876024,Derril,Wheway,43,M,True,True,False,True
965454391,Vito,Bedle,36,M,True,True,True,False
537949534,Gilda,Scyone,38,F,True,True,False,False
095635940,Chicky,Kennelly,20,M,True,True,True,True
747860826,Lee,Dellenbach,76,F,True,True,False,False
737796697,Gayel,Rue,15,F,True,False,False,True
715752715,Reggie,Diamant,41,M,False,False,False,True
014642103,Myrilla,Eneas,24,F,True,True,True,True
981785648,Domingo,Scholcroft,18,M,True,True,False,False
781013692,Torin,Eagell,64,M,True,True,False,False
681195085,Larina,Flecknoe,80,F,True,False,True,True
498735786,Georgena,Pechan,46,F,True,True,False,True
004129986,Chris,Layfield,37,M,True,True,True,True
304777605,Dotti,Sedgefield,16,F,True,True,True,True
504419354,Lorette,Birchwood,78,F,True,True,False,True
967771064,Darn,Wyllt,89,M,True,True,False,False
263654098,Nikolaus,Labrenz,65,M,True,True,False,True
304593391,Joanna,Fridlington,2,F,False,True,True,True
182697385,Obidiah,Dyott,79,M,False,True,False,False
490088228,Charisse,Chaize,47,F,True,True,True,False
267541332,Travus,Wodeland,81,M,True,True,True,True
004841786,Cordie,Burley,64,M,False,True,True,True
870913782,Fraser,Coners,15,M,True,False,True,False
568586534,Elston,Keijser,81,M,True,True,True,False
104245813,Nap,Breinl,106,M,True,True,True,False
973487688,Horace,Mabey,22,M,True,False,False,False
206291015,Harrison,Price,71,M,True,False,True,True
332369852,Emmy,Garment,10,F,True,True,False,False
994604005,Berkeley,Castano,37,M,True,True,True,True
871959580,Shana,Wakenshaw,81,F,True,True,False,False
799323018,Emlyn,Hume,66,F,True,True,True,True
346241317,Pooh,Andriulis,26,M,True,True,False,False
047895469,Wildon,Gianninotti,55,M,True,True,True,False
497695672,Erna,Akers,50,F,True,True,False,True
139076732,Eldridge,Racine,21,M,True,True,False,True
658107516,Vonnie,Spreag,87,F,True,True,True,False
473212988,Hurleigh,Kalker,85,M,True,False,False,False
650940982,Athene,Hedau,36,F,True,False,True,True
464623319,Norton,McClelland,78,M,True,False,False,True
058903219,Zsazsa,Bachman,60,F,True,True,False,True
072356224,Jada,Burden,67,F,False,False,False,True
325658667,Terese,Glanton,103,F,False,True,False,True
117526857,Marisa,Rozier,93,F,True,True,False,False
434342990,Rolland,Tyres,84,M,True,True,False,False
339922973,Francesco,Axtonne,32,M,True,True,True,False
159316893,Aubrette,Clutram,31,F,True,False,True,True
841337801,Odelinda,Hixley,3,F,False,True,False,True
252386032,Geoff,Lille,91,M,True,False,False,False
343994869,Bernadette,Kynson,19,F,True,True,False,False
713977475,Robbie,Farley,103,F,False,False,False,True
136440331,Mable,Billion,13,F,False,True,False,True
209586774,Diannne,Munkley,6,F,True,True,True,False
335833639,Eduardo,Banks,103,M,True,True,True,True
734289096,Cherice,Midlar,29,F,True,True,False,False
412412157,Gale,Segar,106,F,True,True,True,True
473602380,Kala,Elcoat,91,F,False,True,False,True
529506333,Sibel,Duignan,29,F,True,True,True,True
563190749,Lodovico,Gall,74,M,False,True,True,True
955515882,Timothy,Glascott,76,M,False,True,True,False
277594414,Cleavland,Cofax,108,M,True,True,False,False
556035079,Hestia,Thibodeaux,28,F,True,True,True,True
611672111,Katinka,Heditch,46,F,True,False,False,False
613347480,Alexis,Shears,21,M,True,True,False,True
073653904,Andreana,Brunke,108,F,True,True,True,False
335292170,Hallsy,Tunder,78,M,True,True,False,False
788864534,Myrtice,Teodoro,49,F,True,True,True,True
076068771,Margalit,Minerdo,50,F,True,False,False,False
155054452,Eziechiele,Brockest,29,M,True,True,False,True
875887931,Sergent,Klisch,2,M,True,True,True,True
347972963,Carmela,Kacheller,70,F,True,True,True,True
266009503,Joyann,Malitrott,34,F,True,True,False,False
617866094,Hewet,Ferrotti,56,M,True,True,False,False
472928710,Calli,Capineer,82,F,False,True,True,True
633910562,Kayne,McHan,40,M,True,True,True,True
873108839,Max,Netti,40,F,True,True,True,False
332361010,Terry,McKirdy,23,M,True,True,False,False
017843076,Vida,Sterry,82,F,True,False,True,False
072695933,Joyous,Kennsley,26,F,True,True,False,False
469459683,Reinald,Winscum,7,M,False,True,False,True
103049378,Ximenes,Kennedy,37,M,True,False,False,True
509467477,Richard,Willets,51,M,False,False,True,True
179810956,Lezlie,Peever,72,F,True,True,True,True
032309629,Salim,Stroyan,9,M,True,True,True,True
488987646,Barrie,Thal,98,F,True,True,True,False
382112629,Leta,Iliffe,39,F,True,True,False,True
566498298,Betty,Wateridge,103,F,True,True,True,True
338980323,Barclay,Shillom,0,M,True,True,False,False
616898609,Tarra,Levens,95,F,True,True,True,True
909735192,Luce,Petkens,70,F,True,True,False,False
