DNI,Nombre,Apellido,edad,gender,Perdida de conciencia,Respira,Movilidad Reducida,Dolor
338666495,Jens,Twelves,63,M,False,True,False,False
116755853,Lesli,Reijmers,13,F,False,True,False,False
986168117,Debera,Thoresby,56,F,False,True,False,False
747864891,Eugine,Heales,48,F,False,True,False,False
071527127,Gussy,Life,77,F,False,True,False,False
297900379,Jard,Traill,41,M,False,True,False,False
879333389,Hakim,Bayfield,41,M,False,True,False,False
524541385,Meir,Braddock,16,M,False,True,False,True
588203247,Nissy,Vamplew,88,F,False,True,False,False
403739172,Giulia,Antonias,24,F,False,True,False,False
459362493,Alley,Pagden,15,M,False,True,False,False
090909159,Darryl,Habard,51,M,False,False,False,False
980627388,Patrizia,Yackiminie,89,F,False,True,False,False
704621131,Hildagard,Chaperlin,88,F,False,True,False,False
626036706,Correy,Jephcote,67,F,False,True,False,False
799498647,Yard,Gasnoll,6,M,False,True,False,False
292555366,Stanton,Cornock,33,M,False,True,False,False
436779605,Zelig,Staddon,37,M,False,True,False,False
910801160,Any,Gambles,42,M,False,True,False,False
114051765,Ky,Surmeyer,19,M,True,True,False,False
818101014,Nap,Jerwood,92,M,False,True,False,False
954651402,Whittaker,Durrell,72,M,False,True,False,False
546745022,Leroy,Simcock,51,M,False,True,False,False
510813544,Valeda,Bambridge,31,F,False,True,False,False
187627261,Eba,Bruntje,25,F,False,True,False,False
143757747,Mireille,Hairon,11,F,False,True,False,False
536519670,Nicola,McShirie,35,M,False,True,True,False
571836546,Annora,Yockney,87,F,False,True,False,False
272834202,Rudy,Pougher,45,M,False,True,False,True
205729477,El,Ausher,5,M,False,True,False,False
706544984,Urbanus,Burdikin,85,M,False,True,False,False
808006858,Berty,Chieco,39,F,False,True,False,False
713181635,Milzie,Giovannoni,12,F,True,True,False,False
702935086,Lynda,Bewsy,56,F,False,True,False,False
043492948,Whitaker,Banger,71,M,False,True,False,False
281066138,Rickie,Ollin,71,M,False,True,False,False
791275032,Cordie,Bomb,27,F,False,True,False,False
711924953,Cris,Shearmer,35,F,True,True,False,True
892856323,Vincenty,Ramm,14,M,False,True,False,True
738960034,Elissa,Manger,42,F,False,True,False,False
329700720,Paulita,Iannitti,14,F,False,True,False,False
331991523,Marcille,Wreath,62,F,False,True,False,False
524551572,Lia,Bodycomb,98,F,True,False,False,False
092535785,Gale,Hollow,48,M,False,False,False,False
139294663,Cassandry,Cubberley,3,F,False,True,False,True
595921915,Janean,Truman,19,F,False,True,False,False
655730585,Laetitia,Haydn,57,F,False,True,True,False
439433448,Arv,Dysart,45,M,False,True,False,False
230891507,Harvey,Easum,1,M,False,True,False,False
414977553,Dewitt,Spensly,99,M,False,True,False,False
540668014,Lenard,Castiblanco,21,M,False,True,False,False
715434598,Jereme,Pinck,52,M,False,True,False,True
535090966,Netta,Aldus,82,F,False,True,False,False
818456399,Else,Schuricke,57,F,False,True,False,False
024156110,Joete,De Gogay,78,F,True,True,False,True
376615964,Rey,Keir,9,M,False,True,False,True
843758843,Tadeo,Bilam,42,M,False,True,False,False
871025769,Giorgio,Welbourn,64,M,False,True,False,True
311527839,Neddie,Dwelling,68,M,False,True,False,False
405679799,Mar,Vandrill,31,M,False,False,False,True
383882479,Valaree,Asbrey,95,F,False,True,False,False
223383001,Elsinore,Ebertz,99,F,False,True,False,False
968298241,Clayson,Speake,59,M,False,True,True,False
106703906,Tamiko,Bugg,40,F,False,True,True,False
568367253,Dillon,Danslow,64,M,False,True,False,False
408241662,Theodosia,Harley,3,F,False,True,False,False
851137714,Gaile,Firminger,5,M,False,True,False,False
386011614,Andrus,Maiklem,44,M,False,True,False,False
516009818,Gabrila,Montrose,4,F,True,True,False,False
948446992,Spenser,Jochens,74,M,False,True,False,False
848077586,Ignaz,Hedges,1,M,False,True,False,False
866110478,Hubey,Itzik,24,M,False,True,False,False
945619538,Bondon,Aldhous,6,M,False,True,False,False
383323952,Finlay,Brosch,68,M,False,True,False,False
326128918,Zackariah,Kidman,48,M,False,False,False,False
414211136,Gray,Stuckey,79,F,False,True,False,False
586300979,Julee,Britto,92,F,False,True,True,False
225107049,Erroll,Lane,11,M,False,True,False,False
126818177,Baron,Eynaud,100,M,False,True,False,False
480952149,Pegeen,Huccaby,97,F,False,True,False,True
639423376,Jodie,Bonnick,39,M,False,True,False,False
688318766,Prince,Spurrior,4,M,False,True,False,False
681076049,Myrtle,Pendergast,66,F,False,True,False,True
894013390,Sigvard,Etchell,70,M,False,True,False,False
411361887,Doralynn,McElory,79,F,False,True,False,False
117995089,Kenna,Siegertsz,37,F,False,True,False,False
460577264,Kermy,Brislen,16,M,True,True,False,False
603901157,Brinn,Kale,59,F,False,True,False,False
811809807,Isabella,Crotty,44,F,False,True,False,True
776341985,Orton,ducarme,75,M,False,True,False,False
255746840,Dedie,Baum,2,F,False,True,False,False
069439762,Teodoor,Chapellow,55,M,False,True,False,True
958971490,Kipper,Dron,96,M,True,True,False,False
166035207,Tildy,Tidswell,44,F,False,True,False,False
830328575,Felita,Liley,47,F,False,True,False,True
283190997,Damara,Erdis,45,F,False,True,False,False
