DNI-1,first_name,last_name,edad,gender,Enfermedad
098194607,Chrisse,Van Der Weedenburg,51,M,coma
066441544,Noe,Gittings,36,M,nauseas
840739291,Duky,Cord,85,M,sinusitis
767597465,Freedman,Epinoy,73,M,infeccion de oido
332157265,Lloyd,Cristofvao,12,M,esguince
744147135,Josie,Abson,8,F,isquemia
973181478,Donny,Snipe,2,F,sinusitis
696448084,Ernestus,Rait,48,M,isquemia
916850491,Quintin,Valentelli,5,M,alergias
574358231,Ferdinand,Broadhurst,43,M,urgencias psiquiatricas
456190414,Jimmie,Henrique,4,M,convulsiones
291291950,Gar,Trenbay,47,M,artritis
336791932,Madeleine,Alyokhin,63,F,dolor de espalda
427444641,Alistair,Fishbourn,68,M,urgencias psiquiatricas
678570452,Griffy,Muggach,31,M,dolor de estomago
714378172,Clementia,Garmans,25,F,dolor de estomago
341788962,Hayden,Hitcham,57,M,bronquitis
810521326,Dorey,Sailor,23,F,esguince
945349543,Abba,Kohter,19,M,bronquitis
454961932,Cull,McElwee,10,M,dolor de muela
874705797,Lorilyn,Olfert,37,F,politraumatismo
464290843,Gardener,Grigs,6,M,migraña
761964172,Siobhan,Woodvine,27,F,infeccion de oido
335128619,Elke,Salery,64,F,hemorragia digestiva
898508491,Bart,Parrin,53,M,migraña
099754451,Herta,Momford,58,F,coma
012573488,Gradey,Forlonge,87,M,urgencias psiquiatricas
255342844,Kaye,Graver,82,F,infeccion de oido
754595346,Danit,Hurworth,5,F,bronquitis
935259410,Gaylor,Ladewig,65,M,migraña
242385507,Rutter,Goodding,66,M,bronquitis
257803426,Lilla,Pirozzi,72,F,dolor de espalda
505788239,Mohandas,Seals,34,M,isquemia
539228874,Harmonie,Frayling,18,F,infeccion de oido
479110277,Denver,Longford,75,M,alergias
869872577,Rayna,Luetkemeyer,87,F,urgencias psiquiatricas
393974211,Tara,Lant,43,F,esguince
892776285,Lorette,Ridgeway,37,F,isquemia
445477890,Suzie,Larne,80,F,convulsiones
046924469,Any,Bruhnsen,79,M,infeccion de oido
206835710,Andrus,Chesterfield,77,M,bronquitis
774310940,Pietra,Gleader,26,F,dolor de muela
870316191,Matteo,Hugues,64,M,bronquitis
457753805,Ann,Caherny,8,F,dolor de estomago
954712000,Yancey,Pridmore,7,M,migraña
066667381,Ddene,Edgell,50,F,hemorragia digestiva
016846639,Rycca,Benneyworth,73,F,migraña
677766673,Belinda,Curneen,67,F,coma
516705745,Barbabra,Broggio,74,F,coma
783636896,Delano,Bowhey,44,M,dolor de espalda
936772017,Granny,Carryer,42,M,dolor de estomago
917562828,Cindelyn,Inwood,88,F,hemorragia digestiva
826478720,Sukey,Klimontovich,48,F,nauseas
922945546,Raynor,Ranfield,65,M,nauseas
198575426,Pren,Twinborough,55,M,sinusitis
575974643,Gunner,Child,4,M,hemorragia digestiva
188605749,Pryce,Bernholt,53,M,esguince
629741856,Tobi,Roch,13,F,alergias
062724308,Natalya,Trustrie,28,F,urgencias psiquiatricas
947053784,Pru,Hateley,41,F,alergias
030927953,Claiborne,Plowman,85,M,sinusitis
202984227,Nikoletta,Wines,52,F,dolor de estomago
381674343,Libbi,Harrill,6,F,nauseas
524572204,Buck,Knevet,85,M,politraumatismo
153516122,Erwin,Bradder,98,M,politraumatismo
761494790,Don,Georgot,24,M,esguince
742965689,Virgil,Tuffs,33,M,hipertension
003574492,Sybyl,Bingham,49,F,nauseas
580979619,Mathias,Fleckno,69,M,isquemia
688272788,Carmina,Thome,40,F,dolor de espalda
488659447,Dennie,Benian,19,F,hipertension
338869794,Thaine,Braker,88,M,asma
422360873,Klarrisa,Shotboulte,11,F,infeccion de oido
344005733,Ber,Becom,77,M,isquemia
798515685,Alecia,Rivenzon,66,F,neumonia
289506403,Talia,Spridgen,93,F,artritis
800209584,Court,Catherall,14,M,artritis
052534096,Pavia,Condon,45,F,sinusitis
502449534,Nefen,Cassam,72,M,hipertension
505316058,Bent,Lorey,84,M,asma
736323342,Merla,Dudderidge,11,F,infeccion de oido
364570559,Jaquenette,Gores,57,F,neumonia
460225172,Torre,Worling,35,M,hipertension
896672932,Hilarius,Fonteyne,81,M,coma
912943566,Roman,Standish-Brooks,15,M,hemorragia digestiva
245517915,Grete,Christaeas,56,F,urgencias psiquiatricas
851236265,Wren,Pock,95,F,alergias
431050435,Duky,Licciardello,57,M,infeccion de oido
683137862,Matilda,Geaney,7,F,esguince
320614957,Rianon,Moar,86,F,sinusitis
208588137,Bella,Dace,91,F,politraumatismo
928531048,Allissa,Bibby,99,F,dolor de estomago
299940219,Sally,Hawsby,22,F,sinusitis
821316539,Marylin,Matuska,85,F,hipertension
180596569,Corrine,Breinlein,24,F,migraña
319772476,Patrice,Twopenny,58,F,migraña
789450381,Yolande,Padgett,10,F,urgencias psiquiatricas
129054609,Joel,O'Lunney,66,M,artritis
039733098,Geoffry,Blewmen,9,M,isquemia
826181504,Cale,Elmar,6,M,bronquitis
145814498,Berri,Feltham,87,F,dolor de muela
428766132,Anestassia,Kalkofen,15,F,esguince
387499375,Dicky,Wedderburn,50,M,dolor de estomago
860763467,Faunie,Stolberger,60,F,asma
306092161,Tallia,Sextone,95,F,sinusitis
039949584,Say,Cottier,100,M,urgencias psiquiatricas
561192396,Pauletta,Danielkiewicz,61,F,isquemia
793613665,Katrinka,Cogan,80,F,neumonia
739565558,Wilmette,Pollie,36,F,dolor de espalda
337830308,Tulley,Crowch,26,M,esguince
400973841,Haslett,Huggett,31,M,convulsiones
433608910,Carter,Elcocks,76,M,neumonia
683082823,Kimbell,Delgado,14,M,dolor de muela
960723869,Justinian,Gerrans,27,M,hemorragia digestiva
304433968,Doll,Tiley,44,F,urgencias psiquiatricas
574351002,Andrey,Joyson,85,M,urgencias psiquiatricas
004976162,Nikolas,Snowsill,72,M,migraña
758166452,Vasilis,Loynes,58,M,sinusitis
400748271,Eleonora,Frosdick,28,F,coma
806374349,Harper,Kearton,61,M,esguince
113727335,Kaycee,Tift,4,F,bronquitis
893004011,Edgard,Sergison,74,M,dolor de espalda
293222840,Maryrose,Chastel,29,F,isquemia
442770452,Waldo,Shewsmith,52,M,politraumatismo
601171945,Arte,Harrema,97,M,asma
544804702,Thomasina,Leinster,54,F,hemorragia digestiva
161915138,Zondra,Netti,30,F,convulsiones
640652755,Gregoor,Murr,53,M,dolor de muela
230153690,Forbes,Fearneley,83,M,alergias
609881173,Hube,Boyett,78,M,coma
101953648,Regan,Citrine,14,M,nauseas
258031482,Pamela,Catonne,60,F,hemorragia digestiva
373950799,Philippine,Wedge,7,F,hemorragia digestiva
932162406,Vivienne,Ashburne,38,F,asma
451878199,Antonie,McCathie,99,F,dolor de espalda
447676690,Lonna,Schwerin,9,F,dolor de estomago
157563777,Willey,Faithfull,65,M,convulsiones
511915387,Christean,Ashlee,58,F,asma
945463846,Horatio,Fforde,36,M,convulsiones
